리그오브레전드,2,185,1,3,642,474,,,,
오버워치,4,5781,2655,6,7349,4127,",",마이너스 50씩 하기,,
로스트아크,4,1071,2655,8,9139,4127,",",너무 낮아서 모든 부품이 다 돌아갈 경우 1로 표시,,
배틀그라운드,8,6316,5805,16,8054,8933,,,,
피파 온라인 4,4,3687,923,8,6666,2655,,,,
블레이드앤소울,3,816,242,4,3005,749,,,,
월드오브워크래프트,2,2284,842,4,5934,3736,",",싱글,,
디아블로 3,2,816,749,4,1483,1135,,,,
아이온: 영원의탑,2,816,242,4,3005,1135,,,,
데스티니 가디언즈,6,4446,4127,8,5955,8601,,,,
검은사막,4,2903,878,8,7434,8601,,,,
히어로즈 오브 더 스톰,3,1553,242,4,2517,1833,,,,
스타크래프트: 리마스터,2,816,113,4,1313,749,,,,
리니지,2,353,102,4,1109,182,,,,
스타크래프트2,2,1483,182,4,3120,1833,,,,
크레이지 아케이드,1,1,1,1,1,1,,,,
워크래프트 III,2,470,1,4,845,113,,,,
콜오브듀티 블랙옵스 4,8,5240,4127,16,15967,12334,,,,
마비노기 영웅전,2,1,182,4,2377,878,,,,
파이널 판타지 14,4,2115,3350,8,5556,8601,,,,
테라,2,3142,749,4,7106,1558,,,,
아키에이지,2,1,113,4,642,878,,,,
파크라이 5,8,"6,386",5369,8,9786,8601,,,,
폴아웃 4,8,5343,1925,8,9989,7959,,,,
마인크래프트,2,4031,1463,4,7657,"3,305",,,,
레인보우식스,6,5091,2655,8,6475,5369,,,,
어쌔신크리드 오리진,6,5955,4127,8,9291,4938,,,,
FIFA 18,8,3687,2655,8,5249,5369,,,,
위쳐 3,6,6475,4127,8,9291,6077,,,,
콜오브듀티(WW2),8,4336,4127,12,5955,"8,601",,,,
위닝 일레븐 2018,8,6521,1833,8,9291,4127,,,,
몬스터헌터,8,6708,4938,8,9291,9017,,,,
니드포스티드(페이백),6,5849,3736,8,7796,8116,,,,
팔라딘,8,5955,5369,8,9291,8601,,,,
소울칼리버 6,6,5054,4127,8,7657,9017,,,,
DARK SOULS: REMASTERED,4,7626,4938,8,11182,8601,,,,
포트나이트,4,2903,455,8,3889,4127,,,,
GTA5,4,2954,883,8,6695,4127,,,,
콜오브듀티 5,8,5240,4127,12,6475,8601,,,,
폴아웃 76,8,8054,7959,8,11182,8601,,,,
배틀필드 5,8,8054,4127,12,11182,9017,,,,
포트나이트 배틀로얄,4,2903,455,8,3889,4127,,,,
어쎄신크리드 오디세이,8,4620,4127,8,8393,8601,,,,
배틀필드 1,8,8054,4127,16,9989,8932,,,,
피파19,8,3687,2655,8,5249,5369,,,,
심즈4,2,1049,63,4,3695,1833,,,,
저스트 코즈 4,8,5955,4938,16,9786,11217,,,,
포 아너,4,2827,4127,8,6475,8601,,,,
배틀프론트 II,8,8055,3840,16,10006,8933,,,,
다크소울(리마스터),4,6475,4938,8,11182,8601,,,,
